#Data tag : 24v2 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
321815:7090,08/26/18 12:01:16,23,HLT_IsoMu24_v13,0.007776422,0.005120243
321817:7090,08/26/18 12:20:00,535,HLT_IsoMu24_v13,0.153301824,0.148474427
321818:7090,08/26/18 15:50:06,687,HLT_IsoMu24_v13,0.142371775,0.138015965
321820:7090,08/26/18 20:26:15,214,HLT_IsoMu24_v13,0.032881015,0.032069065
321831:7091,08/27/18 00:10:22,749,HLT_IsoMu24_v13,0.258304584,0.248044751
321832:7091,08/27/18 05:06:22,490,HLT_IsoMu24_v13,0.119498124,0.115962445
321833:7091,08/27/18 08:27:00,397,HLT_IsoMu24_v13,0.076707302,0.074191075
321834:7091,08/27/18 11:05:28,333,HLT_IsoMu24_v13,0.051569880,0.049809670
321879:7092,08/27/18 17:57:43,261,HLT_IsoMu24_v13,0.094658128,0.090171380
321880:7092,08/27/18 20:01:46,130,HLT_IsoMu24_v13,0.042742557,0.041376114
321887:7095,08/28/18 01:04:04,895,HLT_IsoMu24_v13,0.287812076,0.276943266
321908:7097,08/28/18 13:40:10,416,HLT_IsoMu24_v13,0.151880089,0.145315917
321909:7097,08/28/18 16:31:34,1652,HLT_IsoMu24_v13,0.351368767,0.340571266
321917:7098,08/29/18 05:24:24,798,HLT_IsoMu24_v13,0.271677366,0.261222200
321919:7098,08/29/18 10:38:52,6,HLT_IsoMu24_v13,0.001642885,0.001488833
321933:7099,08/29/18 14:09:13,282,HLT_IsoMu24_v13,0.104892253,0.101008189
321960:7101,08/29/18 21:26:49,24,HLT_IsoMu24_v13,0.007956294,0.007304554
321961:7101,08/29/18 21:43:01,354,HLT_IsoMu24_v13,0.138274286,0.132127458
321973:7105,08/30/18 09:44:30,1205,HLT_IsoMu24_v13,0.372700993,0.358669402
321975:7105,08/30/18 17:37:18,866,HLT_IsoMu24_v13,0.150779297,0.145784329
321988:7108,08/31/18 03:56:29,1325,HLT_IsoMu24_v13,0.399108047,0.384024317
321990:7108,08/31/18 13:16:37,471,HLT_IsoMu24_v13,0.083327180,0.081032253
322013:7109,08/31/18 18:44:38,5,HLT_IsoMu24_v13,0.001437669,0.001146119
322014:7109,08/31/18 18:52:10,17,HLT_IsoMu24_v13,0.007087857,0.006669932
322022:7110,08/31/18 21:02:55,1749,HLT_IsoMu24_v13,0.469845842,0.452971430
322040:7112,09/01/18 11:09:06,39,HLT_IsoMu24_v13,0.014437163,0.013692557
322057:7114,09/01/18 20:28:32,21,HLT_IsoMu24_v13,0.008913070,0.008235563
322068:7117,09/02/18 02:40:56,674,HLT_IsoMu24_v13,0.243733114,0.232601308
322079:7118,09/02/18 11:24:26,360,HLT_IsoMu24_v13,0.146805575,0.140246021
322106:7120,09/02/18 21:40:43,824,HLT_IsoMu24_v13,0.292894684,0.281861286
322113:7122,09/03/18 06:37:14,108,HLT_IsoMu24_v13,0.043431902,0.040790092
322118:7122,09/03/18 07:20:37,861,HLT_IsoMu24_v13,0.278953042,0.268230856
322179:7123,09/03/18 16:39:51,1729,HLT_IsoMu24_v13,0.486091279,0.468132405
322201:7124,09/04/18 05:55:39,220,HLT_IsoMu24_v13,0.089804532,0.084336162
322204:7124,09/04/18 07:24:58,1129,HLT_IsoMu24_v13,0.323919895,0.310871790
322625:7145,09/10/18 03:32:10,1120,HLT_IsoMu24_v13,0.347819181,0.335275725
322222:7124,09/04/18 14:53:45,526,HLT_IsoMu24_v13,0.096306401,0.092744594
322252:7125,09/04/18 20:29:20,1538,HLT_IsoMu24_v13,0.437410979,0.420360460
322317:7127,09/05/18 12:01:44,54,HLT_IsoMu24_v13,0.020269796,0.019246082
322319:7127,09/05/18 12:25:29,159,HLT_IsoMu24_v13,0.062992572,0.055502721
322322:7127,09/05/18 13:29:27,1105,HLT_IsoMu24_v13,0.303154544,0.292464436
322324:7127,09/05/18 21:27:53,416,HLT_IsoMu24_v13,0.071323558,0.069260009
322332:7128,09/06/18 02:11:56,1019,HLT_IsoMu24_v13,0.326775499,0.313997936
