#Data tag : 24v2 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
316239:6681,05/14/18 05:52:32,589,HLT_IsoMu24_v12,0.217723473,0.209320577
316240:6681,05/14/18 09:45:29,1222,HLT_IsoMu24_v12,0.293184840,0.283683862
316241:6681,05/14/18 17:44:39,325,HLT_IsoMu24_v12,0.055296361,0.053194571
316271:6683,05/15/18 00:23:54,86,HLT_IsoMu24_v12,0.032067478,0.029698355
316361:6688,05/15/18 17:14:35,182,HLT_IsoMu24_v13,0.027415887,0.026413887
316362:6688,05/15/18 18:35:04,425,HLT_IsoMu24_v13,0.055678975,0.053916088
316363:6688,05/15/18 21:30:58,46,HLT_IsoMu24_v13,0.004717234,0.004611485
316377:6690,05/16/18 01:56:02,21,HLT_IsoMu24_v13,0.003238999,0.001986070
316378:6690,05/16/18 02:06:22,29,HLT_IsoMu24_v13,0.006210418,0.003336673
316379:6690,05/16/18 02:20:12,70,HLT_IsoMu24_v13,0.014591107,0.008222157
316380:6690,05/16/18 02:51:00,1208,HLT_IsoMu24_v13,0.179336474,0.175280166
316455:6693,05/16/18 19:16:25,36,HLT_IsoMu24_v13,0.009914479,0.009607184
316457:6693,05/16/18 19:38:28,1454,HLT_IsoMu24_v13,0.335726476,0.326275938
316469:6694,05/17/18 07:48:25,428,HLT_IsoMu24_v13,0.154006793,0.148879222
316470:6694,05/17/18 11:54:09,476,HLT_IsoMu24_v13,0.121012240,0.116870246
316472:6694,05/17/18 15:00:34,328,HLT_IsoMu24_v13,0.068118644,0.066237491
316505:6696,05/18/18 00:24:11,1319,HLT_IsoMu24_v13,0.414505291,0.401222651
316569:6700,05/19/18 02:15:13,1888,HLT_IsoMu24_v13,0.499437562,0.485572357
316590:6702,05/19/18 20:55:25,510,HLT_IsoMu24_v13,0.195348630,0.189248932
316613:6706,05/20/18 07:52:22,193,HLT_IsoMu24_v13,0.032123857,0.031466211
316615:6706,05/20/18 09:12:45,338,HLT_IsoMu24_v13,0.050039803,0.049127397
316666:6709,05/20/18 21:51:33,976,HLT_IsoMu24_v13,0.289345879,0.279383150
316667:6709,05/21/18 04:15:41,197,HLT_IsoMu24_v13,0.043606535,0.042140303
316700:6710,05/21/18 11:45:22,301,HLT_IsoMu24_v13,0.118084631,0.114305225
